Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2004.0,Robert Geathers,Georgia,DE,74.9,271.0,4.91,24.0,33.5,112.0,4.280972644376902,7.203437499999993,10-3-0,4.0,117.0,CIN,21.0,2014.0,0.0,0.0,7.0,46.0,46.0,184.0,3.0,34.0,D,18.4,0.3,3.4,1.15
2004.0,Roderick Green,Central Missouri,DE,74.3,245.0,4.72,21.0,34.5,129.0,4.04,7.26,,5.0,153.0,BAL,22.0,2008.0,0.0,0.0,0.0,6.0,3.0,31.0,0.0,12.0,D,7.75,0.0,3.0,0.484375
2004.0,DeAngelo Hall,Virginia Tech,CB,70.0,202.0,4.36,21.68733850129199,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,11-2-0,1.0,8.0,ATL,20.0,2017.0,0.0,3.0,10.0,62.0,26.0,638.0,43.0,2.0,D,49.08,3.31,0.15,3.0675
2004.0,Claude Harriott,Pittsburgh,DE,75.6,252.0,4.71,25.0,30.5,118.0,4.25,7.44,5-6-0,5.0,147.0,CHI,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2004.0,Tommie Harris,Oklahoma,DT,74.5,295.0,4.68,29.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,8-4-0,1.0,14.0,CHI,21.0,2011.0,0.0,3.0,6.0,54.0,53.0,187.0,1.0,31.5,D,26.71,0.14,4.5,1.669375
2004.0,Marquise Hill,Louisiana State,DE,78.6,305.0,4.9,23.0,29.0,106.0,4.280972644376902,7.203437499999993,11-2-0,2.0,63.0,NWE,22.0,2006.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,D,1.0,0.0,0.0,0.0625
2004.0,Isaac Hilton,Hampton (VA),DE,75.4,267.0,4.6,31.0,36.5,123.0,4.48,7.99,,7.0,253.0,NYG,,2006.0,0.0,0.0,0.0,,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2004.0,Von Hutchins,Mississippi,CB,69.6,185.0,4.5,11.0,34.5,115.0,4.06,7.05,3-8-0,6.0,173.0,IND,23.0,2007.0,0.0,0.0,1.0,7.0,2.0,123.0,2.0,0.5,D,41.0,0.67,0.17,2.5625
2004.0,Leon Joe,Maryland,OLB,72.5,230.0,4.51,30.0,39.0,116.59947643979058,4.280972644376902,7.203437499999993,5-6-0,4.0,112.0,CHI,22.0,2007.0,0.0,0.0,0.0,3.0,3.0,36.0,0.0,0.0,D,12.0,0.0,0.0,0.75
2004.0,Landon Johnson,Purdue,OLB,74.0,223.0,4.65,20.0,37.5,120.0,4.08,7.01,5-6-0,3.0,96.0,CIN,23.0,2010.0,0.0,0.0,5.0,28.0,22.0,342.0,1.0,3.5,D,57.0,0.17,0.58,3.5625
2004.0,Tank Johnson,Washington,DT,74.8,304.0,4.74,31.0,34.0,114.0,4.6,7.56,2-9-0,2.0,47.0,CHI,22.0,2010.0,0.0,0.0,2.0,22.0,11.0,107.0,0.0,14.0,D,17.83,0.0,2.33,1.114375
2004.0,Trevor Johnson,Nebraska,DE,76.6,260.0,4.81,23.0,35.5,110.0,4.08,7.06,8-4-0,7.0,234.0,NYJ,23.0,2007.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,D,11.0,0.0,0.0,0.6875
2004.0,Niko Koutouvides,Purdue,ILB,74.5,244.0,4.73,21.68733850129199,30.5,108.0,3.88,6.98,5-6-0,4.0,116.0,SEA,23.0,2012.0,0.0,0.0,0.0,8.0,4.0,134.0,0.0,1.0,D,16.75,0.0,0.12,1.046875
2004.0,Teddy Lehman,Oklahoma,OLB,73.5,240.0,4.55,26.0,34.5,113.0,4.06,6.91,8-4-0,2.0,37.0,DET,22.0,2008.0,0.0,0.0,1.0,9.0,9.0,106.0,2.0,1.0,D,26.5,0.5,0.25,1.65625
2004.0,Jeremy LeSueur,Michigan,CB,72.0,197.0,4.55,21.68733850129199,35.0,116.0,4.280972644376902,7.203437499999993,7-5-0,3.0,85.0,DEN,23.0,2005.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0
2004.0,Alex Lewis,Wisconsin,OLB,71.8,227.0,4.72,25.0,34.5,121.0,4.28,7.06,10-3-0,5.0,140.0,DET,23.0,2008.0,0.0,0.0,0.0,7.0,7.0,137.0,1.0,2.0,D,34.25,0.25,0.5,2.140625
2004.0,Keith Lewis,Oregon,FS,72.5,204.0,4.58,11.0,37.0,121.0,4.07,7.28,10-2-0,6.0,198.0,SFO,22.0,2008.0,0.0,0.0,1.0,7.0,7.0,117.0,3.0,1.0,D,29.25,0.75,0.25,1.828125
2004.0,Bobby McCray,Florida,DE,77.8,255.0,4.68,27.0,33.5,116.59947643979058,4.280972644376902,7.203437499999993,9-3-0,7.0,249.0,JAX,22.0,2010.0,0.0,0.0,2.0,24.0,18.0,105.0,0.0,29.5,D,17.5,0.0,4.92,1.09375
2004.0,Caleb Miller,Arkansas,ILB,75.3,224.0,4.71,23.0,34.5,120.0,3.93,6.85,4-7-0,3.0,80.0,CIN,24.0,2007.0,0.0,0.0,0.0,10.0,10.0,111.0,0.0,1.0,D,37.0,0.0,0.33,2.3125
2004.0,Antwan Odom,Alabama,DE,77.8,274.0,4.74,21.0,37.0,114.0,4.44,7.3,10-2-0,2.0,57.0,TEN,22.0,2010.0,0.0,0.0,4.0,23.0,15.0,97.0,0.0,23.5,D,16.17,0.0,3.92,1.010625
2004.0,Igor Olshansky,Oregon,DT,77.3,315.0,5.01,41.0,33.5,110.0,4.41,7.61,10-2-0,2.0,35.0,SDG,22.0,2011.0,0.0,0.0,7.0,37.0,26.0,166.0,1.0,12.5,D,23.71,0.14,1.79,1.481875
2004.0,Shaun Phillips,Purdue,DE,75.1,255.0,4.83,21.68733850129199,33.0,114.0,4.23,6.95,5-6-0,4.0,98.0,SDG,23.0,2014.0,0.0,1.0,8.0,53.0,47.0,406.0,7.0,81.5,D,40.6,0.7,8.15,2.5375
2004.0,Will Poole,Southern California,CB,70.4,194.0,4.47,16.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,12-1-0,4.0,102.0,MIA,23.0,2004.0,0.0,0.0,0.0,1.0,1.0,26.0,0.0,1.0,D,26.0,0.0,1.0,26.0
2004.0,Derrick Pope,Alabama,OLB,70.9,230.0,4.69,24.0,34.358247422680414,106.0,4.280972644376902,7.203437499999993,10-2-0,7.0,222.0,MIA,22.0,2007.0,0.0,0.0,1.0,10.0,10.0,104.0,2.0,2.0,D,34.67,0.67,0.67,2.166875
2004.0,Kendyll Pope,Florida State,OLB,73.0,226.0,4.71,21.68733850129199,34.358247422680414,118.0,4.26,7.203437499999993,8-5-0,4.0,107.0,IND,23.0,2004.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,D,1.0,0.0,0.0,1.0
2004.0,Etric Pruitt,Southern Mississippi,FS,72.1,197.0,4.59,21.68733850129199,39.5,116.0,4.0,7.15,7-5-0,6.0,186.0,ATL,23.0,2005.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,D,9.0,0.0,0.0,0.5625
2004.0,Keiwan Ratliff,Florida,CB,70.1,194.0,4.58,11.0,34.358247422680414,116.59947643979058,4.280972644376902,7.203437499999993,9-3-0,2.0,49.0,CIN,23.0,2010.0,0.0,0.0,0.0,9.0,6.0,129.0,5.0,0.0,D,21.5,0.83,0.0,1.34375
2004.0,Robert Reynolds,Ohio State,ILB,75.5,251.0,4.79,18.0,32.5,116.0,3.94,7.17,10-2-0,5.0,165.0,TEN,23.0,2006.0,0.0,0.0,0.0,2.0,2.0,26.0,0.0,0.0,D,13.0,0.0,0.0,0.8125
2004.0,Dunta Robinson,South Carolina,CB,70.6,186.0,4.35,15.0,36.0,120.0,3.75,6.97,7-5-0,1.0,10.0,HOU,22.0,2013.0,0.0,0.0,8.0,39.0,21.0,504.0,17.0,5.5,D,56.0,1.89,0.61,3.5
2004.0,Bob Sanders,Iowa,SS,68.4,204.0,4.4,15.0,41.5,128.0,3.91,6.7,7-5-0,2.0,44.0,IND,23.0,2011.0,2.0,2.0,2.0,32.0,31.0,229.0,6.0,3.5,D,32.71,0.86,0.5,2.044375
