Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2010,Phillip Adams,South Carolina State,CB,70.75,192,,,,,,,
2010,Seyi Ajirotutu,Frenso State (CA),WR,75.38,204,,4.6,14,36,115,4.39,7.22
2010,Rahim Alem,Louisiana State,DE,74.63,251,,4.75,,30.5,106,4.8,7.54
2010,Charles Alexander,Louisiana State,DT,75.63,300,,,,,,,
2010,Danario Alexander,Missouri,WR,76.63,215,,,,,,,
2010,Nate Allen,South Florida,FS,72.5,207,,4.5,16,,,,
2010,Tyson Alualu,California,DE,74.38,295,,4.87,21,35.5,116,4.43,7.15
2010,Jon Amaya,Nevada,FS,72.75,203,,4.51,8,28,118,,
2010,Jonathon Amaya,Nebraska,FS,72.75,203,,4.6,8,28,118,,
2010,Pat Angerer,Iowa,ILB,72.25,235,,4.71,26,35,110,4.29,7.04
2010,Lucien Antoine,Oklahoma State,SS,72.5,215,,4.62,28,32,120,4.47,7.38
2010,Javier Arenas,Alabama,CB,68.63,197,,4.6,,,112,,
2010,Alric Arnett,West Virginia,WR,73.75,188,,4.52,,40,122,4.43,7.03
2010,Jon Asamoah,Illinois,OG,76,305,,,,,,,
2010,Larry Asante,Nebraska,SS,72,212,,4.62,14,37.5,118,4.17,7
2010,Geno Atkins,Georgia,DT,73.38,293,,4.75,34,33,117,4.43,7.33
2010,Terrence Austin,UCLA,WR,69.63,165,,,,,,,
2010,Brandon Banks,Kansas State,WR,66.75,149,,4.43,,31,113,4.29,6.88
2010,Freddie Barnes,Bowling Green (OH),WR,72,215,,,,,,,
2010,Kevin Basped,Nevada,DE,76.5,258,,4.75,26,29,104,4.88,7.54
2010,Danny Batten,South Dakota State,ILB,74.88,246,,,,,,,
2010,Zane Beadles,Utah,OG,76.38,310,,5.28,27,,,,
2010,Jason Beauchamp,Nevada Las Vegas,ILB,75,244,,4.89,21,39.5,120,,7.1
2010,Chris Bell,Norfolk State (VA),WR,74.13,211,,4.5,15,35,117,4.35,6.76
2010,Joique Bell,Wayne State (MI),RB,71.25,220,,4.68,,36.5,120,4.17,6.84
2010,Arrelious Benn,Illinois,WR,73,219,,4.57,20,37,118,,
2010,Eric Berry,Tennessee,FS,71.63,211,,4.4,19,43,130,4.23,6.8
2010,Jahvid Best,California,RB,70.13,199,24,4.34,18,32.5,113,4.17,6.75
2010,Ciron Black,Louisiana State,OG,76.5,327,,5.53,23,25.5,91,5.13,8.52
2010,LeGarrette Blount,Oregon,RB,72.5,241,16,4.7,18,35,117,4.49,6.85
2010,Nyan Boateng,California,WR,73,204,,4.75,14,36,112,4.69,7.35
2010,Kyle Bosworth,UCLA,OLB,72.63,236,,4.69,25,32.5,117,4.11,6.67
2010,Brent Bowden,Virginia Tech,P,74.5,202,,,,,,,
