Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2002.0,Willie Ford,Syracuse,CB,73.5,195.0,4.57,10.0,34.0,117.0,4.33,7.25,1-10-0,,,,,,,,,,,,,,U
2002.0,Sean Guthrie,Boston College,DE,76.0,269.0,4.9,28.0,,,,,9-3-0,,,,,,,,,,,,,,U
2002.0,Quentin Harris,Syracuse,FS,73.0,216.0,4.61,14.0,36.5,120.0,4.34,7.59,1-10-0,,,,,,,,,,,,,,U
2002.0,Jason Hebert,Rice (TX),FS,71.4,190.0,4.63,15.0,35.5,115.0,3.86,7.12,1-10-0,,,,,,,,,,,,,,U
2002.0,Abdual Howard,Florida State,SS,72.0,209.0,4.63,,,117.0,,,8-5-0,,,,,,,,,,,,,,U
2002.0,Grant Irons,Notre Dame,DE,77.6,267.0,5.03,19.0,40.5,117.0,4.38,7.27,9-3-0,,,,,,,,,,,,,,U
2002.0,Ron Isreal,Notre Dame,SS,73.0,213.0,4.6,20.0,,121.0,,,9-3-0,,,,,,,,,,,,,,U
2002.0,Bobby Jackson,Illinois,SS,72.4,216.0,4.74,,34.5,120.0,4.16,7.01,2-9-0,,,,,,,,,,,,,,U
2002.0,Joseph Jefferson,Western Kentucky,CB,71.5,205.0,4.37,8.0,39.5,117.0,4.01,6.84,0-2-0,,,,,,,,,,,,,,U
2002.0,Eric Joyce,Tennessee State,CB,69.1,192.0,4.55,11.0,40.5,114.0,3.97,6.81,,,,,,,,,,,,,,,U
2002.0,Stephon Kelly,Winston-Salem State (NC),SS,74.6,212.0,4.67,15.0,32.5,117.0,4.1,7.26,,,,,,,,,,,,,,,U
2002.0,Antwan Lake,West Virginia,DE,76.1,286.0,5.08,27.0,,,,,11-1-0,,,,,,,,,,,,,,U
2002.0,D.D. Lewis,Texas,ILB,73.0,235.0,4.7,24.0,33.5,114.0,,,13-0-0,,,,,,,,,,,,,,U
2002.0,Brandon Moore,Oklahoma,OLB,73.1,239.0,4.61,23.0,36.5,111.0,,,8-4-0,,,,,,,,,,,,,,U
2002.0,Tony Okanlawon,Maryland,CB,71.0,185.0,4.67,16.0,38.0,118.0,4.39,7.37,5-6-0,,,,,,,,,,,,,,U
2002.0,Jermaine Petty,Arkansas,ILB,74.9,261.0,4.79,20.0,33.5,114.0,4.34,,4-7-0,,,,,,,,,,,,,,U
2002.0,Rick Sherrod,West Virginia,FS,73.8,192.0,4.58,,37.0,115.0,4.11,7.09,11-1-0,,,,,,,,,,,,,,U
2002.0,Bobby Sippio,Western Kentucky,CB,75.0,214.0,4.73,12.0,37.0,120.0,4.2,6.78,0-2-0,,,,,,,,,,,,,,U
2002.0,Connor Stephens,Mississippi State,DE,76.4,256.0,4.93,20.0,36.5,119.0,4.55,7.5,3-8-0,,,,,,,,,,,,,,U
2002.0,Jashon Sykes,Colorado,OLB,74.9,236.0,4.81,23.0,34.5,115.0,4.34,7.25,7-6-0,,,,,,,,,,,,,,U
2002.0,Josh Thornhill,Michigan State,ILB,74.3,243.0,4.76,27.0,36.5,121.0,4.19,7.15,5-6-0,,,,,,,,,,,,,,U
2002.0,Lenny Walls,Boston College,CB,76.3,192.0,4.7,7.0,37.0,115.0,,,9-3-0,,,,,,,,,,,,,,U
2002.0,Greg White,Minnesota,DE,75.1,268.0,4.91,20.0,31.5,113.0,4.36,7.4,7-5-0,,,,,,,,,,,,,,U
2003.0,Rod Babers,Texas,CB,68.8,192.0,4.46,15.0,37.0,127.0,4.06,6.82,13-0-0,,,,,,,,,,,,,,U
2003.0,Korey Banks,Mississippi State,CB,69.9,188.0,4.59,15.0,,,,,3-8-0,,,,,,,,,,,,,,U
2003.0,Chris Brown,Hawaii,FS,73.0,195.0,4.59,15.0,35.5,126.0,4.13,7.05,5-7-0,,,,,,,,,,,,,,U
2003.0,Mark Brown,Auburn,ILB,72.4,238.0,4.85,,37.5,121.0,4.17,7.35,9-3-0,,,,,,,,,,,,,,U
2003.0,Nick Burley,Frenso State (CA),DE,75.6,243.0,4.82,26.0,32.0,108.0,4.56,7.72,,,,,,,,,,,,,,,U
2003.0,Colin Cole,Iowa,DT,73.6,309.0,5.28,29.0,31.0,103.0,4.67,7.84,7-5-0,,,,,,,,,,,,,,U
2003.0,Anthony Floyd,Louisville,FS,69.5,202.0,4.6,19.0,33.5,117.0,4.18,7.09,9-3-0,,,,,,,,,,,,,,U
2003.0,Lawrence Flugence,Texas Tech,ILB,73.1,239.0,4.86,23.0,34.0,106.0,4.34,7.4,9-3-0,,,,,,,,,,,,,,U
2003.0,Jason Goss,Texas Christian,CB,70.0,183.0,4.72,15.0,32.5,117.0,4.24,7.46,11-1-0,,,,,,,,,,,,,,U
2003.0,Omari Hand,Tennessee,DE,75.8,267.0,4.85,34.0,,,,,5-6-0,,,,,,,,,,,,,,U
2003.0,Byron Hardmon,Florida,ILB,73.0,232.0,4.78,17.0,32.5,115.0,4.36,7.55,9-3-0,,,,,,,,,,,,,,U
2003.0,Raymond House,Arkansas,DE,74.4,277.0,5.14,20.0,32.0,120.0,4.32,7.53,4-7-0,,,,,,,,,,,,,,U
