Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Ryan Fowler,Duke,ILB,75.1,250.0,4.76,35.0,37.5,118.0,4.19,7.19,1-10-0,,,,,,,,,,,,,,U
2004.0,Keyaron Fox,Georgia Tech,OLB,74.4,227.0,4.65,28.0,,,,,7-5-0,3,93,KAN,22,2012,0,0,0,13,4,141,1,1.0,D
2004.0,Rich Gardner,Penn State,CB,70.6,199.0,4.49,11.0,36.5,123.0,3.91,6.91,11-1-0,3,92,TEN,23,2006,0,0,0,2,2,18,1,,D
2004.0,Robert Geathers,Georgia,DE,74.9,271.0,4.91,24.0,33.5,112.0,,,10-3-0,4,117,CIN,21,2014,0,0,7,46,46,184,3,34.0,D
2004.0,Roderick Green,Central Missouri,DE,74.3,245.0,4.72,21.0,34.5,129.0,4.04,7.26,,5,153,BAL,22,2008,0,0,0,6,3,31,,12.0,D
2004.0,Jabari Greer,Tennessee,CB,70.1,178.0,4.51,7.0,36.5,126.0,,,5-6-0,,,,,,,,,,,,,,U
2004.0,DeAngelo Hall,Virginia Tech,CB,70.0,202.0,4.36,,,,,,11-2-0,1,8,ATL,20,2017,0,3,10,62,26,638,43,2.0,D
2004.0,Jonathan Harrell,Northern Iowa,OLB,73.5,242.0,4.73,27.0,,,,,,,,,,,,,,,,,,,U
2004.0,Claude Harriott,Pittsburgh,DE,75.6,252.0,4.71,25.0,30.5,118.0,4.25,7.44,5-6-0,5,147,CHI,,,0,0,0,,,,,,D
2004.0,Tommie Harris,Oklahoma,DT,74.5,295.0,4.68,29.0,,,,,8-4-0,1,14,CHI,21,2011,0,3,6,54,53,187,1,31.5,D
2004.0,Bryan Hickman,Kansas State,OLB,72.1,231.0,4.71,26.0,32.5,106.0,4.0,7.38,5-6-0,,,,,,,,,,,,,,U
2004.0,Marquise Hill,Louisiana State,DE,78.6,305.0,4.9,23.0,29.0,106.0,,,11-2-0,2,63,NWE,22,2006,0,0,0,0,0,2,,,D
2004.0,Cedric Hilliard,Notre Dame,DT,73.5,307.0,5.17,26.0,29.0,110.0,4.75,8.22,9-3-0,,,,,,,,,,,,,,U
2004.0,Isaac Hilton,Hampton (VA),DE,75.4,267.0,4.6,31.0,36.5,123.0,4.48,7.99,,7,253,NYG,,,0,0,0,,,,,,D
2004.0,T.J. Hollowell,Nebraska,OLB,72.4,235.0,4.57,,33.5,117.0,4.09,7.14,8-4-0,,,,,,,,,,,,,,U
2004.0,Von Hutchins,Mississippi,CB,69.6,185.0,4.5,11.0,34.5,115.0,4.06,7.05,3-8-0,6,173,IND,23,2007,0,0,1,7,2,123,2,0.5,D
