Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2004,Derek Abney,Kentucky,WR,69.3,179,,4.56,,33.5,120,4.08,6.89
2004,Nathaniel Adibi,Virginia Tech,DE,75.3,254,,4.65,,33,118,4.36,
2004,Roc Alexander,Washington,CB,71,185,,4.37,,39.5,125,4.23,6.97
2004,Rich Alexis,Washington,RB,72,210,,4.65,,32,114,4.43,7.41
2004,Jared Allen,Idaho State,DE,78,265,,4.76,13,33,120,4.34,7.11
2004,Marcell Allmond,Southern California,CB,72,209,,4.63,21,38,123,4.34,7.37
2004,Courtney Anderson,San Jose State,TE,78,269,,4.89,17,30,106,4.54,7.86
2004,Shawn Andrews,Arkansas,OT,76.1,366,,5.49,27,25,98,4.85,8.25
2004,Stacy Andrews,Mississippi,OT,78.1,342,,5.07,34,30.5,106,4.78,8.09
2004,Matthias Askew,Michigan State,DT,77.4,308,,5.24,20,27,101,4.42,7.55
2004,Jason Babin,Western Michigan,DE,74.6,260,,4.65,28,34,121,4.14,7.03
2004,Rashad Baker,Tennessee,FS,70.5,204,,4.55,21,36,117,4.12,7.19
2004,Dave Ball,UCLA,DE,77.4,277,,5.07,24,,,,
2004,Jacob Bell,Miami (OH),OG,76.8,302,,5.22,26,,,,
2004,Tatum Bell,Oklahoma State,RB,71,212,,4.39,25,38.5,117,,
2004,Bernard Berrian,Frenso State (CA),WR,73,183,,4.58,,38,128,4.18,7.34
2004,Ryon Bingham,Nebraska,DT,75.4,303,,5.14,33,30,109,4.38,7.44
2004,Bobby Blizzard,North Carolina,TE,76,266,,4.89,12,,102,,
2004,Colby Bockwoldt,Brigham Young,OLB,73.6,230,,4.59,14,34,112,4.05,7.12
2004,Ryan Boschetti,UCLA,DT,76.4,306,,5.15,,29.5,110,4.27,7.41
2004,Michael Boulware,Florida State,OLB,74,225,,4.5,,,,3.92,6.89
2004,Jon Bradley,Arkansas State,DT,73,306,,5.09,19,26.5,104,4.85,7.88
2004,Maurice Brown,Iowa,WR,72.3,219,,4.54,,33,117,4.21,7.38
2004,Rufus Brown,Florida State,CB,69.3,187,,4.45,15,33,124,4.44,7.24
2004,Tony Bua,Arkansas,SS,71.3,209,,4.65,15,36,120,4.08,6.75
2004,Sean Bubin,Illinois,OT,78.5,306,,5.29,25,24.5,97,4.76,7.66
2004,Josh Buhl,Kansas State,OLB,71.3,204,,4.7,,29,114,4.32,7.26
2004,Kelly Butler,Purdue,OT,79.4,320,,5.12,,30.5,105,4.92,7.96
2004,Darrell Campbell,Notre Dame,DT,75.6,302,,5.21,25,33,111,4.66,7.63
2004,Dietrich Canterberry,Nevada Las Vegas,DT,74.9,308,,5.35,26,,,,
2004,Vernon Carey,Miami (FL),OG,76.4,335,,5.32,30,,,,
2004,Ahmad Carroll,Arkansas,CB,69.6,195,,4.36,15,41,128,,
2004,Jordan Carstens,Iowa State,DT,77.4,305,,5.05,28,28.5,106,4.8,8.35
2004,Ran Carthon,Florida,RB,71.4,224,,4.45,22,34.5,112,4.12,
2004,Marko Cavka,Sacramento State (CA),OT,79,294,,5.17,27,27.5,107,4.4,7.57
2004,Toby Cecil,Texas Tech,C,76,297,,5.25,19,,85,4.98,8.31
2004,Kirk Chambers,Stanford,OT,79.3,313,,5.51,22,27,101,4.4,7.56
2004,Ahmad Childress,Alabama,DT,77.9,351,,5.32,,22,86,4.94,8.75
2004,Brandon Chillar,UCLA,OLB,74.9,253,,4.75,23,33,115,4.08,
2004,Quinn Christensen,Brigham Young,OG,77.9,312,,5.1,32,,,,
2004,Tyson Clabo,Wake Forest,OG,78.9,315,,5.45,24,30,100,4.88,8.09
2004,Adrien Clarke,Ohio State,OG,77,329,,5.49,,26,102,4.74,7.9
2004,Michael Clayton,Louisiana State,WR,74.8,209,,4.61,,32.5,116,4.09,6.77
2004,Cedric Cobbs,Arkansas,RB,72.1,223,,4.72,,40,123,,
2004,Cols Colas,Virginia Tech,OLB,71.6,233,,4.59,22,34.5,118,,
2004,Ricardo Colclough,Tusculum (TN),CB,70.6,194,,4.5,8,39.5,127,,
2004,Erik Coleman,Washington State,FS,70.5,200,,4.62,16,35.5,117,4.14,7.03
2004,Chris Collins,Mississippi,WR,73.1,201,,4.67,,35,112,,
2004,Chris Cooley,Utah State,TE,75.5,265,,4.86,22,33,115,4.19,7.21
2004,Marquis Cooper,Washington,OLB,75.3,223,,4.55,25,36.5,121,4.12,7.02
2004,Terrance Copper,East Carolina (NC),WR,71.9,208,,4.51,,35.5,116,4.31,7.34
2004,Jorge Cordova,Nevada,ILB,74,237,,4.68,22,35.5,,4.17,7.28
2004,Jerricho Cotchery,North Carolina State,WR,72.5,212,,4.56,,36,121,3.91,6.93
2004,Regis Crawford,Arizona State,OG,74,316,,6.07,,,,4.86,8.03
2004,Duron Croson,Fort Valley State (GA),RB,72.8,226,,4.84,14,30.5,108,,
2004,Tom Crowder,Arkansas,WR,73,183,,4.45,,38.5,132,,
2004,Kentrell Curry,Georgia,FS,73,201,,4.63,17,34.5,127,,
2004,Lane Danielson,Iowa State,WR,73,197,,4.6,,31,117,4.07,6.73
2004,Trey Darilek,Texas-El Paso,OG,76,301,,5.23,22,28.5,110,4.66,7.85
2004,Devard Darling,Washington State,WR,73.1,213,,4.52,,37,129,,
2004,Josh Davis,Nebraska,RB,70.4,200,,4.53,13,33.5,112,4.07,7.27
2004,Rod Davis,Southern Mississippi,ILB,74,239,,4.71,,,114,4.02,7.2
2004,Curtis DeLoatch,North Carolina A&T,CB,74.4,214,,4.52,10,35.5,120,4.42,6.97
2004,Mondre Dickerson,Tennessee,DT,76.1,316,,5.12,29,27,106,,8.34
2004,Daryl Dixon,Florida,FS,69.6,195,,4.75,15,35.5,118,,
2004,Darnell Dockett,Florida State,DT,75.4,297,,5,26,31,105,,
2004,Nat Dorsey,Georgia Tech,OT,79,322,,5.46,26,28.5,102,4.89,8.3
2004,Khiawatha Downey,Indiana (PA),OG,76.1,332,,5.47,21,26.5,98,4.82,8.01
2004,Vontez Duff,Notre Dame,CB,70.6,203,,4.55,13,35,120,4.03,6.94
2004,Jeff Dugan,Maryland,TE,77,263,,5,21,28,109,4.4,7.43
2004,Glenn Earl,Notre Dame,SS,73.1,222,,4.65,20,,,,
2004,Joe Echemandu,California,RB,70.8,226,,4.58,15,,,,
2004,Dwan Edwards,Oregon State,DT,74.8,313,,5.14,25,28,105,4.68,7.59
2004,DeAndre Eiland,South Carolina,FS,71.5,202,,4.54,17,35,113,4.27,7.19
2004,Kevin Emanuel,Florida State,DE,76,251,,4.84,21,31,108,4.49,7.86
2004,Tim Euhus,Oregon State,TE,77,260,,4.89,25,34.5,115,4.13,6.99
2004,Lee Evans,Wisconsin,WR,70.9,197,,4.41,,34.5,120,,
2004,Clarence Farmer,Arizona,RB,71.9,231,,4.69,21,34.5,120,4.25,7.44
2004,Jason Fife,Oregon,QB,75.9,226,26,4.95,,30.5,113,4.18,7.28
2004,Troy Fleming,Tennessee,FB,72,230,,4.67,,32,120,3.91,6.94
2004,JohnPaul Foschi,Georgia Tech,TE,75.9,266,,5.01,24,30.5,111,4.35,7.49
2004,Ryan Fowler,Duke,ILB,75.1,250,,4.76,35,37.5,118,4.19,7.19
2004,Keyaron Fox,Georgia Tech,OLB,74.4,227,,4.65,28,,,,
2004,Carlos Francis,Texas Tech,WR,69.1,198,,4.31,,38.5,114,4.06,6.97
2004,Michael Gaines,Central Florida,TE,74,275,,5.07,18,33,109,4.18,7.44
2004,Robert Gallery,Iowa,OT,79.1,323,,4.97,24,30,105,4.38,7.42
2004,Rich Gardner,Penn State,CB,70.6,199,,4.49,11,36.5,123,3.91,6.91
2004,Robert Geathers,Georgia,DE,74.9,271,,4.91,24,33.5,112,,
2004,Ronnie Ghent,Louisville,TE,74.5,248,,5,11,27.5,103,4.5,7.47
2004,Roderick Green,Central Missouri,DE,74.3,245,,4.72,21,34.5,129,4.04,7.26
2004,Jabari Greer,Tennessee,CB,70.1,178,,4.51,7,36.5,126,,
2004,Jake Grove,Virginia Tech,C,75.4,303,,5.17,31,,,,
2004,D.J. Hackett,Colorado,WR,74.5,199,,4.55,,41,131,4.08,6.79
2004,Rex Hadnot,Houston,C,74.1,323,,5.51,27,24.5,91,4.66,7.94
2004,Antonio Hall,Kentucky,OG,75.4,317,,5.53,27,26.5,101,4.55,8.12
2004,DeAngelo Hall,Virginia Tech,CB,70,202,,4.36,,,,,
2004,Nick Hardwick,Purdue,C,75.5,295,,5.2,27,34,108,4.55,7.72
2004,Jonathan Harrell,Northern Iowa,OLB,73.5,242,,4.73,27,,,,
2004,Claude Harriott,Pittsburgh,DE,75.6,252,,4.71,25,30.5,118,4.25,7.44
2004,Josh Harris,Bowling Green (OH),QB,73.5,238,25,4.84,,31,115,,
2004,Tommie Harris,Oklahoma,DT,74.5,295,,4.68,29,,,,
2004,Ben Hartsock,Ohio State,TE,76,263,,4.81,23,35,117,3.98,7.1
2004,Joseph Hayes,San Jose State,OG,76.4,311,,5.65,18,23,94,5.12,8.25
2004,Bryan Hickman,Kansas State,OLB,72.1,231,,4.71,26,32.5,106,4,7.38
2004,Marquise Hill,Louisiana State,DE,78.6,305,,4.9,23,29,106,,
2004,Cedric Hilliard,Notre Dame,DT,73.5,307,,5.17,26,29,110,4.75,8.22
2004,Isaac Hilton,Hampton (VA),DE,75.4,267,,4.6,31,36.5,123,4.48,7.99
