Year,Name,College_x,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Pos,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,Keith Ellison,Oregon State,OLB,73.5,235.0,4.83,24.0,32.5,115.0,4.16,7.22,5-6-0,6,178,BUF,LB,22,2010,0,0,3,19,19,164,2,2.0,1
2006.0,Fred Evans,Texas State,DT,75.88,305.0,,,,,,,0-1-0,7,212,MIA,DT,22,2013,0,0,0,9,0,66,,3.0,1
2006.0,Tyler Everett,Ohio State,SS,71.13,200.0,,,,,,,10-2-0,,,,,,,,,,,,,,,0
2006.0,Steve Fifita,Utah,DT,71.25,322.0,,,,,,,7-5-0,,,,,,,,,,,,,,,0
2006.0,Cortland Finnegan,Samford (AL),CB,69.88,188.0,,,,,,,,,,,,,,,,,,,,,,0
2006.0,Gabriel Fulbright,New Mexico,CB,69.63,169.0,,,,,,,6-5-0,,,,,,,,,,,,,,,0
2006.0,Omar Gaither,Tennessee,OLB,73.0,234.0,4.8,23.0,37.0,116.0,4.28,7.31,5-6-0,5,168,PHI,LB,22,2013,0,0,2,25,21,264,2,6.0,1
2006.0,Chris Gocong,Cal Poly,DE,74.13,263.0,4.7,28.0,38.5,123.0,4.08,7.06,,3,71,PHI,DE,22,2012,0,0,5,30,16,228,,9.5,1
2006.0,Kedric Golston,Georgia,DT,76.0,300.0,4.94,31.0,33.0,111.0,4.45,7.6,10-3-0,6,196,WAS,DT,23,2016,0,0,4,27,27,137,,7.0,1
2006.0,Charles Gordon,Kansas,CB,70.13,183.0,4.64,12.0,35.5,115.0,4.2,6.95,7-5-0,,,,,,,,,,,,,,,0
2006.0,Marcus Green,Ohio State,DT,73.25,295.0,5.19,33.0,31.0,108.0,4.86,7.62,10-2-0,,,,,,,,,,,,,,,0
2006.0,Chad Greenway,Iowa,OLB,74.5,242.0,4.8,16.0,33.5,117.0,4.22,7.0,7-5-0,1,17,MIN,LB,23,2016,0,2,10,64,64,762,11,18.0,1
2006.0,Cedric Griffin,Texas,FS,72.13,199.0,4.54,17.0,35.5,125.0,4.1,6.84,13-0-0,,,,,,,,,,,,,,,0
2006.0,Brandon Guillory,Louisiana-Monroe,DE,75.38,252.0,,,,,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Jason Hall,Tennessee,DE,74.25,253.0,,,,,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Justin Hamilton,Virginia Tech,FS,75.13,218.0,,,,,,,11-2-0,,,,,,,,,,,,,,,0
2006.0,Parys Haralson,Tennessee,DE,73.25,253.0,4.84,24.0,32.0,115.0,4.26,7.37,5-6-0,5,140,SFO,DE,22,2014,0,0,7,37,29,190,,28.0,1
2006.0,Chris Harrell,Penn State,SS,72.38,209.0,4.74,15.0,40.5,119.0,4.12,7.02,11-1-0,,,,,,,,,,,,,,,0
2006.0,Jason Hatcher,Grambling State (LA),DE,77.88,284.0,4.91,28.0,35.5,113.0,4.49,7.67,,3,92,DAL,DE,24,2015,0,1,5,34,23,177,1,34.5,1
2006.0,Spencer Havner,UCLA,ILB,75.38,242.0,4.71,,39.0,116.0,4.07,6.81,10-2-0,,,,,,,,,,,,,,,0
2006.0,A.J. Hawk,Ohio State,OLB,73.0,248.0,4.64,24.0,40.0,115.0,3.96,6.82,10-2-0,1,5,GNB,LB,22,2016,0,0,10,59,56,645,9,20.0,1
2006.0,Brent Hawkins,Illinois State,DE,74.25,244.0,,,,,,,,5,160,JAX,DE,23,2007,0,0,0,3,3,19,,5.5,1
2006.0,Chris Hawkins,Marshall (WV),CB,70.13,183.0,4.53,16.0,37.0,116.0,4.18,,4-7-0,,,,,,,,,,,,,,,0
2006.0,Jarvis Herring,Florida,SS,71.13,207.0,4.92,15.0,36.5,116.0,4.23,7.34,9-3-0,,,,,,,,,,,,,,,0
2006.0,Tye Hill,Clemson,CB,69.63,185.0,4.34,,41.0,129.0,4.01,6.63,8-4-0,,,,,,,,,,,,,,,0
2006.0,Abdul Hodge,Iowa,ILB,72.38,236.0,4.82,,31.0,108.0,4.3,7.09,7-5-0,3,67,GNB,LB,23,2010,0,0,0,2,1,25,,,1
2006.0,Reuben Houston,Georgia Tech,CB,71.88,192.0,4.68,21.0,41.5,127.0,4.42,,7-5-0,,,,,,,,,,,,,,,0
2006.0,Thomas Howard,Texas-El Paso,OLB,75.25,239.0,4.46,21.0,39.0,124.0,4.28,6.96,8-4-0,2,38,OAK,LB,23,2013,0,0,5,34,26,392,7,6.0,1
2006.0,Oliver Hoyte,North Carolina State,ILB,74.63,245.0,4.98,19.0,32.0,112.0,4.3,7.47,7-5-0,,,,,,,,,,,,,,,0
2006.0,Marcus Hudson,North Carolina State,FS,73.13,194.0,,11.0,,,,,7-5-0,,,,,,,,,,,,,,,0
2006.0,Michael Huff,Texas,SS,72.0,204.0,4.37,21.0,40.5,125.0,,,13-0-0,,,,,,,,,,,,,,,0
2006.0,Darrell Hunter,Miami (OH),CB,71.88,206.0,4.47,8.0,36.0,123.0,4.11,,7-4-0,,,,,,,,,,,,,,,0
