Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2002,Jonathan Adams,Arkansas State,RB,73,219,,4.58,15,36.5,120,4.31,6.97
2002,P.J. Alexander,Syracuse,OG,76,299,,5.38,,29.5,102,4.73,7.9
2002,Brian Allen,Stanford,RB,69,209,,4.46,19,33,112,4.08,6.9
2002,James Allen,Oregon State,OLB,74.6,240,,4.63,24,38,120,4.21,7.59
2002,Jeremy Allen,Iowa,FB,71.8,241,,4.6,17,38,122,4.49,7.06
2002,Matt Anderle,Minnesota,OT,78,327,,5.55,26,29,101,4.8,7.99
2002,Damien Anderson,Northwestern,RB,70.4,211,,4.6,27,33.5,112,4.02,6.93
2002,Marques Anderson,UCLA,SS,71,213,,4.52,16,39.5,124,,
2002,Mark Anelli,Wisconsin,TE,75.8,262,,4.8,18,,,,
2002,Akin Ayodele,Purdue,OLB,74.1,257,,4.86,26,35,119,4.12,7
2002,Chris Baker,Michigan State,TE,75.1,258,,4.85,18,35,111,,6.95
2002,Jason Ball,New Hampshire,C,74.3,301,,5.43,27,29,92,4.73,7.87
2002,Clenton Ballard,Texas State,DT,74.5,313,,5.24,24,26.5,90,4.64,7.47
2002,Mike Banks,Iowa State,TE,76,260,,4.85,,31.5,104,,
2002,Justin Bannan,Colorado,DT,74.8,300,,5.02,24,29,97,4.24,7.31
2002,Kevin Barry,Arizona,OG,76,325,,5.36,24,28.5,106,4.73,8.34
2002,Will Bartholomew,Tennessee,FB,71.9,246,,4.69,35,38,112,4.09,6.85
2002,Rashad Bauman,Oregon,CB,68.3,186,,4.47,10,39,117,,
2002,Jarrod Baxter,New Mexico,FB,72.6,245,,4.74,23,32.5,111,4.27,7.1
2002,Chad Beasley,Virginia Tech,DT,77.4,303,,5.17,27,31.5,99,4.57,7.75
2002,Tony Beckham,Wisconsin-Stout,CB,73,195,,4.37,15,34.5,121,4.3,7.12
2002,Kevin Bentley,Northwestern,OLB,72.4,243,,4.72,23,39,113,3.83,6.71
2002,LeCharles Bentley,Ohio State,C,74.4,299,,5.21,,25.5,100,4.54,7.85
2002,Rocky Bernard,Texas A&M,DT,76,294,,4.96,30,33,108,4.41,7.43
2002,Ladell Betts,Iowa,RB,70.5,220,,4.6,23,38,115,4.06,7.06
2002,Martin Bibla,Miami (FL),OG,75.4,306,,5.08,35,,,,
2002,Terreal Bierria,Georgia,FS,74.6,216,,4.56,18,36,129,4.1,6.93
2002,Dwayne Blakley,Missouri,TE,76.9,256,,5,21,32.5,107,4.29,7.33
2002,Rocky Boiman,Notre Dame,OLB,75.8,242,,4.61,17,35,118,4.05,6.86
2002,Bruce Branch,Penn State,CB,70.9,192,,4.59,,35,112,4.47,7.12
2002,Deion Branch,Louisville,WR,69.1,191,,4.47,,36,115,3.76,6.71
2002,Sam Brandon,Nevada Las Vegas,FS,74,199,,4.72,,36.5,124,,
2002,Jack Brewer,Minnesota,FS,72,194,,4.57,12,37,120,4.24,6.9
2002,Raheem Brock,Temple,DE,75.6,267,,4.93,25,34,109,4.23,7.09
2002,Sheldon Brown,South Carolina,CB,69.9,196,,4.46,15,36.5,118,4.24,7
2002,Antonio Bryant,Pittsburgh,WR,73.3,188,,4.6,,37,118,,
2002,Courtland Bullard,Ohio State,OLB,75,234,,4.62,,36.5,120,4.28,6.99
2002,Joe Burns,Georgia,RB,69,213,,4.81,21,31,105,,
2002,Jamie Burrow,Nebraska,ILB,72.8,249,,4.89,18,30.5,98,4.21,7.28
2002,Reche Caldwell,Florida,WR,71.8,194,,4.53,,41.5,128,4.1,7
2002,Rocky Calmus,Oklahoma,OLB,75.1,243,,4.69,16,,,,
2002,Kelly Campbell,Georgia Tech,WR,70.1,171,,4.52,,,,,
2002,Pete Campion,North Dakota State,OG,76.1,307,,5.25,30,25.5,86,4.81,7.96
2002,David Carr,Frenso State (CA),QB,75.4,223,24,4.67,,35,106,4.28,7.05
2002,Demontray Carter,Troy (AL),RB,70.1,194,,4.58,16,33,115,4.36,7.38
2002,Tim Carter,Auburn,WR,71.9,190,,4.34,,39,124,3.93,6.68
2002,Rock Cartwright,Kansas State,RB,67.8,237,,4.48,30,35,113,4.25,7.18
2002,Terry Charles,Portland State (OR),WR,75.1,207,,4.5,,36.5,122,4.09,7.02
2002,Jermaine Chatman,Arizona,CB,70.6,185,,4.54,,35.5,118,,
2002,Kenyon Coleman,UCLA,DE,76.9,284,,4.97,32,,,,
2002,Reggie Coleman,Tennessee,OT,77.1,301,,5.25,,29,102,4.88,7.84
2002,Michael Collins,Wake Forest,OT,77.5,300,,5.55,32,25.5,98,4.98,8.62
2002,Mike Collins,Ohio State,DT,75,298,,5.03,31,31.5,102,4.46,7.52
2002,Marc Colombo,Boston College,OT,79.9,313,,5.31,30,29.5,100,4.6,7.65
2002,Joe Cooper,Ohio State,OLB,72.4,233,,4.94,17,32,108,4.46,7.47
2002,Keyuo Craver,Nebraska,CB,70.8,201,,4.57,13,31,116,,
2002,Eric Crouch,Nebraska,RB,71.9,195,,4.49,,36,112,4.02,6.87
2002,Alonzo Cunningham,Iowa,OG,75.8,316,,5.47,,24,94,4.73,8.52
2002,Ronald Curry,North Carolina,QB,73.9,220,22,4.65,,35,110,4.11,7.06
2002,Kevin Curtis,Texas Tech,FS,73.6,212,,4.54,24,37.5,123,3.88,6.75
2002,Rohan Davey,Louisiana State,QB,74,245,17,4.74,,25.5,,,
2002,Andra Davis,Florida,ILB,72.9,244,,4.77,20,31.5,106,,
2002,Andre' Davis,Virginia Tech,WR,73.5,194,,4.41,,39.5,117,4.1,6.77
2002,Dorsett Davis,Mississippi State,DT,77.3,304,,5.03,30,31,109,4.67,7.93
2002,Dan Dawson,Rice (TX),SS,73,219,,4.64,24,38,121,4,6.75
2002,Konrad Dean,Akron,OG,76,333,,5.57,30,27.5,97,4.97,8.37
