Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2006,Darrell Adams,Villanova,DE,76.63,277,,5.08,22,27,109,4.76,7.91
2006,Titus Adams,Nebraska,DT,75.38,306,,5.12,15,30.5,103,4.54,7.49
2006,Jahmile Addae,West Virginia,FS,70.25,214,,4.74,,38.5,122,,
2006,Joseph Addai,Louisiana State,RB,71.25,214,,4.43,18,37,125,4.47,7.09
2006,Victor Adeyanju,Indiana,DE,76.25,274,,4.88,22,32,112,4.41,7.37
2006,Jason Allen,Tennessee,FS,72.88,209,,4.41,17,39.5,131,3.81,6.75
2006,Jon Alston,Stanford,OLB,72.75,223,,4.53,30,40,132,4.13,6.9
2006,David Anderson,Colorado State,WR,70.5,192,,4.6,,34,116,4.2,6.88
2006,James Anderson,Virginia Tech,OLB,74.75,229,,4.62,,41,121,4.07,6.67
2006,Mark Anderson,Alabama,DE,76.25,254,,4.65,20,42,127,4.22,6.95
2006,Sir Henry Anderson,Oregon State,DT,75.88,306,,5.23,27,28.5,100,4.55,7.69
2006,Willie Andrews,Baylor,SS,69.38,193,,4.45,7,36.5,124,4.27,6.99
2006,Devin Aromashodu,Auburn,WR,74.5,201,,4.4,,39,120,4.16,7.04
2006,Miles Austin,Monmouth (NJ),WR,74.13,215,,4.5,21,40.5,123,4.14,7.09
2006,Chris Barclay,Wake Forest,RB,68.75,180,,,,,,,
2006,Brett Basanez,Northwestern,QB,73.25,220,,4.79,,34,114,4.22,6.75
2006,Hank Baskett,New Mexico,WR,74.88,224,,4.52,,35,119,4.17,6.79
2006,Eric Bassey,Oklahoma,CB,71.88,195,,,,,,,
2006,Danny Baugher,Arizona,P,69.75,194,,,,,,,
2006,Brett Bell,Wisconsin,CB,72.25,190,,,,,,,
2006,Mike Bell,Arizona,RB,72.25,221,,4.62,19,31.5,112,4.21,7.16
2006,Charles Bennett,Clemson,DE,75.63,258,,4.72,19,33.5,115,4.52,7.48
2006,Matt Bernstein,Wisconsin,FB,72.38,260,,4.93,22,29.5,110,4.5,7.46
2006,Antoine Bethea,Howard (DC),FS,71,203,,4.42,19,36.5,127,4.11,6.99
2006,Troy Bienemann,Washington State,TE,76.63,256,,,,,,,
2006,Damarius Bilbo,Georgia Tech,WR,73.88,214,,4.73,19,36.5,115,4.18,6.9
2006,Darnell Bing,Southern California,SS,74,227,,4.52,17,34,120,4.07,7.25
2006,Will Blackmon,Boston College,CB,72.25,198,,4.49,,41,133,4.23,6.67
2006,Jeremy Bloom,Colorado,WR,69,173,,4.52,,,,,
2006,Greg Blue,Georgia,FS,74.25,216,,4.65,16,37.5,120,,
2006,Kevin Boothe,Cornell (NY),OT,76.75,316,,5.44,23,31.5,98,5.07,8.36
2006,Jovon Bouknight,Wyoming,WR,73.38,195,,4.73,,34,120,4.03,6.93
2006,McKinley Boykin,Mississippi,DT,73,289,,5.04,30,30.5,109,4.75,
2006,Trent Bray,Oregon State,ILB,72.63,231,,4.91,18,32,109,4.41,7.15
2006,Darrell Brooks,Arizona,FS,72.38,198,,4.71,7,36.5,125,4.36,6.97
2006,Manaia Brown,Brigham Young,DT,74.88,301,,5.12,21,34.5,111,4.47,7.63
