Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2001,Keith Adams,Clemson,OLB,70.6,219,,4.81,24,,104,,
2001,Dan Alexander,Nebraska,FB,71.9,257,,4.48,15,34,115,4.16,7.34
2001,Brian Allen,Florida State,OLB,72.1,238,,4.65,25,,,,
2001,David Allen,Kansas State,RB,68.8,194,,4.65,15,31,111,,
2001,Will Allen,Syracuse,CB,70.5,192,,4.44,14,39.5,121,3.9,6.78
2001,Scotty Anderson,Grambling State (LA),WR,74.1,184,,4.57,,34.5,115,,
2001,Adam Archuleta,Arizona State,SS,71.9,211,,4.46,31,,,,
2001,Tom Ashworth,Colorado,OG,77.8,293,,5.11,20,33.5,109,4.3,7.4
2001,Billy Baber,Virginia,TE,75.6,255,,4.77,22,33,106,4.19,7.12
2001,Jeff Backus,Michigan,OT,77.5,310,,5.29,25,27,99,4.67,8.27
2001,Alex Bannister,Eastern Kentucky,WR,76.6,201,,4.5,,30.5,110,,
2001,Kevan Barlow,Pittsburgh,RB,73.1,235,,4.56,,32,,,
2001,Idrees Bashir,Memphis,FS,74.3,206,,4.55,22,40,126,4.2,7.14
2001,Gary Baxter,Baylor,CB,73.6,204,,4.52,,37.5,122,4.21,7.39
2001,Jonathan Beasley,Kansas State,QB,73,227,20,4.85,,29.5,102,4.38,7.55
2001,Monty Beisel,Kansas State,DE,75.8,270,,4.82,26,34.5,110,4.28,7.32
2001,Kendrell Bell,Georgia,ILB,73.3,234,,4.62,24,38.5,124,4.5,7.25
2001,Marcus Bell,Memphis,DT,73.5,319,,5.28,17,,98,4.71,8.07
2001,Michael Bennett,Wisconsin,RB,69.3,207,,4.44,13,39.5,130,,
2001,Eddie Berlin,Northern Iowa,WR,71.4,191,,4.44,,39.5,122,4.06,6.78
2001,Cory Bird,Virginia Tech,SS,70.3,217,,4.6,22,,,,
2001,Darvell Bivens,Northwestern State (LA),FB,70.1,255,,5.03,32,33.5,108,4.38,7.81
2001,Randy Black,Nevada Las Vegas,SS,71.9,205,,4.71,,35.5,115,4.2,7.14
2001,Harold Blackmon,Northwestern,CB,71.4,210,,4.47,17,37,121,4.28,7.03
2001,Derrick Blaylock,Stephen F. Austin (TX),RB,69.9,194,,4.39,18,35.5,119,4.09,7.05
2001,Josh Booty,Louisiana State,QB,74.5,221,27,4.95,,29.5,105,4.48,7.54
2001,Jarvis Borum,North Carolina State,OG,79.1,332,,5.04,25,30.5,107,4.83,8.08
2001,James Boyd,Penn State,SS,71,207,,4.59,,32.5,117,4.24,7.29
2001,Roylin Bradley,Texas A&M,OLB,73.1,243,,4.67,19,34,116,4.28,7.16
2001,Drew Brees,Purdue,QB,72.3,213,28,4.85,,32,105,4.21,7.09
2001,Sean Brewer,San Jose State,TE,75.8,255,,4.75,14,36,117,4.18,7.37
2001,Chris Brown,Georgia Tech,OT,77.1,329,,5.33,30,36,,,
2001,Kenny Bryant,Jackson State (MS),CB,70.6,190,,4.63,10,37.5,117,4.15,7.5
2001,Correll Buckhalter,Nebraska,RB,73,226,,4.53,11,40,,4.06,7.08
2001,Derrick Burgess,Mississippi,DE,74.4,264,,4.9,24,40,125,,7.85
2001,Jerametrius Butler,Kansas State,CB,70,173,,4.57,11,36,121,4.4,7.22
2001,John Capel,Florida,WR,70.6,177,,4.41,,36.5,126,,
2001,Elliott Carson,Vanderbilt,TE,76.5,246,,4.96,16,36,115,4.21,7.52
2001,Robert Carswell,Clemson,FS,71.9,214,,4.59,21,34,106,4.18,7.14
2001,Andre Carter,California,DE,76.4,249,,4.84,20,38.5,132,4.24,
2001,Jonathan Carter,Troy (AL),WR,71.6,180,,4.4,,42.5,134,4.25,7.28
2001,Quincy Carter,Georgia,QB,74.1,225,30,4.61,,35.5,113,4.12,7.12
2001,Quinton Caver,Arkansas,ILB,75.9,227,,4.66,23,37.5,118,4.25,7.66
2001,Chris Chambers,Wisconsin,WR,71.6,210,,4.33,,45,134,4,
2001,Derrick Chambers,Florida,DT,75.6,299,,4.98,32,,,,
2001,Patrick Chukwurah,Wyoming,OLB,73.6,238,,4.75,24,40,119,4.21,7.34
2001,Tay Cody,Florida State,CB,69.1,181,,4.55,11,,,,
2001,Justin Coleman,Nebraska-Kearney,QB,76.4,238,31,5.19,20,29.5,101,4.62,7.78
2001,Derek Combs,Ohio State,RB,72.1,193,,4.45,8,35,120,4.07,6.96
2001,Jameel Cook,Illinois,FB,69.9,226,,4.79,17,29.5,108,4.38,7.55
2001,Chris Cooper,Nebraska-Omaha,DE,77.3,272,,4.96,24,35.5,114,4.21,7.12
2001,Jarrod Cooper,Kansas State,SS,72.5,222,,4.43,,41.5,130,3.9,6.87
2001,Rodney Crayton,Auburn,CB,67.6,178,,4.58,13,35.5,118,4.4,7.25
2001,Rick Crowell,Colorado State,OLB,74.8,242,,5,19,31.5,109,4.35,7.54
2001,Corey Crume,Eastern Kentucky,RB,71.3,225,,4.78,15,37,115,4.32,7.36
2001,Alge Crumpler,North Carolina,TE,74.5,266,,4.79,22,34,112,4.43,7.38
2001,Will Cuthbert,Alabama,OG,77.1,318,,5.75,17,24.5,91,5.06,8.84
2001,Ennis Davis,Southern California,DT,75.9,302,,5.1,23,27.5,99,4.87,7.98
2001,Leonard Davis,Texas,OT,78,370,,5.32,33,28,105,5.18,8.2
2001,Rick DeMulling,Idaho,OG,75.9,307,,5.29,32,31.5,108,4.6,7.62
2001,Ryan Diem,Northern Illinois,OT,78.9,338,,5.14,,34,102,4.46,7.5
2001,Tony Dixon,Alabama,SS,73.1,213,,4.57,17,37,117,,7.38
2001,Charron Dorsey,Florida State,OT,77.6,348,,6.03,16,,,,
2001,Eric Downing,Syracuse,DT,76,302,,5.23,27,,,,
2001,Shawn Draper,Alabama,OG,75.4,303,,5.28,17,32,106,4.77,8.1
2001,Patrick Dyson,Utah,CB,70,179,,4.55,,31.5,119,,
2001,Nijrell Eason,Arizona State,CB,72.8,201,,4.59,19,34.5,119,,
2001,Ron Edwards,Texas A&M,DT,75.3,293,,4.84,,,,,
2001,Heath Evans,Auburn,FB,71.9,246,,4.61,30,34.5,111,4.24,7.3
2001,Mario Fatafehi,Kansas State,DT,73.9,295,,5.27,,,,,
2001,Robert Ferguson,Texas A&M,WR,73,205,,4.48,,36.5,120,4.07,7.24
2001,Bill Ferrario,Wisconsin,OG,74.3,314,,5.3,17,,,,
2001,Dauntae' Finger,North Carolina,TE,76,262,,5.09,15,33.5,103,4.59,7.95
2001,Richmond Flowers,Tennessee-Chattanooga,WR,71.1,195,,4.56,,35.5,114,3.96,6.98
2001,Kynan Forney,Hawaii,OG,74.4,312,,5.29,23,27,97,4.7,8.56
2001,Shawn Forte,Maryland,FS,72.8,204,,4.54,20,,,,
2001,Curtis Fuller,Texas Christian,FS,69.9,186,,4.43,18,36,114,4.21,7.2
2001,Mike Gandy,Notre Dame,OG,76.4,305,,5.2,,30.5,103,4.71,8.03
2001,Rod Gardner,Clemson,WR,74.3,219,,4.48,,36,,,
2001,Roberto Garza,Texas A&M-Kingsville,C,74.1,303,,5.01,37,32.5,114,4.53,7.71
2001,Reggie Germany,Ohio State,WR,73.1,183,,4.42,,32,,,
2001,Derrick Gibson,Florida State,SS,73.6,218,,4.45,17,,,,
2001,Jason Glenn,Texas A&M,OLB,72.6,236,,4.93,14,36,115,4.31,7.16
2001,Kenneth Grant,Kentucky,CB,70.3,204,,4.5,,39,115,4.34,7.15
2001,Morlon Greenwood,Syracuse,OLB,72.4,237,,4.61,21,33.5,112,4.08,7.62
2001,Shane Griggs,Idaho State,QB,75.9,199,29,4.84,,,,,
2001,Adam Haayer,Minnesota,OG,78.1,298,,5.3,23,,,,
2001,Corey Hall,Appalachian State (NC),FS,75.5,198,,4.52,14,36.5,127,,
2001,Ben Hamilton,Minnesota,C,77,303,,5.29,17,33.5,106,4.62,7.62
2001,Casey Hampton,Texas,DT,73.3,314,,5.25,34,,,,
2001,Antoine Harris,Southern California,TE,75.4,260,,4.93,11,26,,,
2001,Shaunard Harts,Boise State,SS,71.6,200,,4.51,12,34.5,119,,7.14
2001,Edgerton Hartwell,Western Illinois,ILB,73,250,,4.86,18,36.5,114,4.56,7.64
2001,Tim Hasselbeck,Boston College,QB,73,211,23,4.83,,33,113,4.4,7.27
2001,Reggie Hayward,Iowa State,DE,77,255,,4.9,21,41,127,4.43,7.43
