Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2003,Khalid Abdullah,Mars Hill (NC),OLB,74.1,227,,4.63,26,36.5,126,4.17,7.13
2003,Anthony Adams,Penn State,DT,71.6,299,,5.1,,30.5,109,4.57,7.67
2003,Sam Aiken,North Carolina,WR,73.9,209,,4.64,,39.5,121,,7.22
2003,Nnamdi Asomugha,California,CB,74.4,213,,4.5,16,37.5,124,,
2003,Rod Babers,Texas,CB,68.8,192,,4.46,15,37,127,4.06,6.82
2003,Boss Bailey,Georgia,OLB,75.1,233,,4.58,,42,135,,
2003,Brad Banks,Iowa,QB,70.8,201,13,4.67,,33.5,112,,
2003,Korey Banks,Mississippi State,CB,69.9,188,,4.59,15,,,,
2003,Tully Banta-Cain,California,DE,74.1,264,,4.79,25,,,,
2003,Nick Barnett,Oregon State,OLB,73.6,236,,4.69,32,34.5,123,4.07,6.97
2003,Justin Bates,Colorado,OG,75.9,300,,5.46,18,,,,
2003,Solomon Bates,Arizona State,ILB,73.4,243,,4.88,19,30,112,4.32,7.22
2003,Arnaz Battle,Notre Dame,WR,73,217,,4.58,,35,117,4.06,6.74
2003,Santonio Beard,Alabama,RB,71.6,222,,4.59,,31.5,119,,
2003,Ronald Bellamy,Michigan,WR,72,208,,4.57,,30.5,119,4.09,7.37
2003,Sean Berton,North Carolina State,TE,76.4,279,,5.04,,31,107,4.35,7.18
2003,Jordan Black,Notre Dame,OT,77.9,314,,5.21,,30,106,4.47,7.65
2003,Josh Blankenship,Tulsa (OK),QB,74,211,24,5.16,,28.5,103,4.42,7.59
2003,Anquan Boldin,Florida State,WR,72.6,216,,4.73,,33.5,114,4.25,7.35
2003,Kyle Boller,California,QB,75,234,27,4.65,,35.5,117,3.99,7.19
2003,Colin Branch,Stanford,FS,71.8,203,,4.43,22,36,119,,
2003,Tyler Brayton,Colorado,DE,78.1,277,,4.78,25,34,116,4.24,7.13
2003,Jeremy Bridges,Southern Mississippi,OG,76.1,301,,5.45,25,28.5,96,4.74,8.12
2003,Lance Briggs,Arizona,ILB,72.6,242,,4.78,25,33,113,,
2003,Lucas Brigman,Nebraska-Omaha,C,72.4,308,,5.44,26,27,101,4.6,7.99
2003,Chris Brown,Hawaii,FS,73,195,,4.59,15,35.5,126,4.13,7.05
2003,Mark Brown,Auburn,ILB,72.4,238,,4.85,,37.5,121,4.17,7.35
2003,D Bryant,Duke,QB,74,218,23,4.78,,35.5,114,4.34,7.36
2003,Nate Burleson,Nevada,WR,73,197,,4.51,,42.5,126,4.16,6.96
2003,Nick Burley,Frenso State (CA),DE,75.6,243,,4.82,26,32,108,4.56,7.72
2003,Curry Burns,Louisville,SS,72.4,216,,4.55,19,36,120,4.1,7.03
2003,Tyrone Calico,Middle Tennessee State,WR,75.8,223,,4.36,,38,127,4.2,6.72
2003,Kerry Carter,Stanford,RB,73.9,238,,4.67,20,36,118,4.34,7.28
2003,Dallas Clark,Iowa,TE,75.4,257,,4.65,,37.5,123,,
2003,Ben Claxton,Mississippi,C,74.6,301,,5.34,,27,102,4.65,7.81
2003,Chris Clemons,Georgia,OLB,75,236,,4.64,18,35,116,4.58,7.47
2003,Avon Cobourne,West Virginia,RB,67.5,205,,4.7,21,31.5,112,4.12,7.2
2003,Colin Cole,Iowa,DT,73.6,309,,5.28,29,31,103,4.67,7.84
2003,Torrie Cox,Pittsburgh,CB,69.3,181,,4.55,,32,119,4.15,6.96
2003,Angelo Crowell,Virginia,ILB,72.4,236,,4.71,25,32.5,,4.26,7.07
2003,Dan Curley,Eastern Washington,TE,76,254,,4.68,17,35.5,118,4.44,7.47
2003,Brennan Curtin,Notre Dame,OT,81.1,318,,5.3,,32,100,4.84,7.97
2003,Kevin Curtis,Utah State,WR,71.1,186,,4.46,,36,122,3.96,6.75
2003,Anthony Davis,Virginia Tech,OG,76.4,329,,5.41,,27.5,95,4.91,8.25
2003,Chris Davis,Syracuse,FB,71.5,235,,4.55,21,38.5,116,4.34,7.23
2003,Domanick Davis,Louisiana State,RB,69,213,,4.64,22,32.5,112,4.46,7.31
2003,Sammy Davis,Texas A&M,CB,71.8,186,,4.45,19,40,131,,7
2003,Enoch DeMar,Indiana,OG,75.9,334,,5.67,22,22.5,90,5.08,8.35
2003,Dahrran Diedrick,Nebraska,RB,72.1,228,,4.65,19,37,117,4.42,7.3
2003,David Diehl,Illinois,OG,78,310,,5.26,22,28,96,4.97,8.1
2003,Robbie Doane,Texas,OG,78.1,311,,5.42,,24.5,85,4.73,8.01
2003,Derrick Dockery,Texas,OG,78,347,,5.58,,25,92,,
2003,Charles Drake,Michigan,FS,73,205,,4.52,20,,,,
2003,Brandon Drumm,Colorado,FB,73.4,233,,4.74,21,32.5,113,4.24,7.18
2003,LaTarence Dunbar,Texas Christian,WR,70.8,196,,4.54,,34,122,4.3,7.39
2003,Nick Eason,Clemson,DT,75.3,301,,5.14,29,,102,,
2003,Justin Fargas,Southern California,RB,72.9,219,,4.41,27,,137,,
2003,Gus Felder,Penn State,OG,74.9,324,,5.9,,23.5,94,5.48,9.09
2003,Drayton Florence,Tuskegee (AL),CB,72.3,198,,4.42,18,35,124,,
2003,Anthony Floyd,Louisville,FS,69.5,202,,4.6,19,33.5,117,4.18,7.09
2003,Lawrence Flugence,Texas Tech,ILB,73.1,239,,4.86,23,34,106,4.34,7.4
2003,George Foster,Georgia,OT,77.4,338,,5.23,,27,100,,
2003,Aubrayo Franklin,Tennessee,DT,73.5,307,,5.2,,27,100,4.7,
2003,Makoa Freitas,Arizona,OG,76,307,,5.1,36,24.5,95,4.86,8.22
2003,Doug Gabriel,Central Florida,WR,74.3,213,,4.56,,35.5,116,4.15,7.03
2003,Ahmaad Galloway,Alabama,RB,71.8,223,,4.65,22,,,,
2003,Talman Gardner,Florida State,WR,72.6,205,,4.47,,34.5,116,4.41,7.53
2003,Kevin Garrett,Southern Methodist (TX),CB,69.4,194,,4.32,,35,129,3.96,6.89
2003,Tony Gilbert,Georgia,ILB,71.9,251,,4.86,19,27.5,109,,
2003,Jason Goss,Texas Christian,CB,70,183,,4.72,15,32.5,117,4.24,7.46
2003,Earnest Graham,Florida,RB,69.1,225,,4.5,22,,,,
2003,Brandon Green,Rice (TX),DE,75,267,,4.78,19,32,105,4.32,7.23
2003,Jamaal Green,Miami (FL),DE,74.9,243,,4.78,27,35.5,119,,
2003,Quentin Griffin,Oklahoma,RB,67,195,,4.49,21,38,123,4.02,
2003,Justin Griffith,Mississippi State,FB,71.3,232,,4.63,29,32,113,4.59,7.71
2003,DeJuan Groce,Nebraska,CB,69.6,192,,4.54,18,36,118,3.96,6.81
2003,Jordan Gross,Utah,OT,76.5,300,,5.05,28,31.5,112,4.34,7.69
2003,Rex Grossman,Florida,QB,73,217,29,5.06,,,,,
2003,Mario Haggan,Mississippi State,ILB,74.6,252,,4.84,21,33,110,4.38,7.54
2003,Ken Hamlin,Arkansas,FS,74.5,209,,4.6,16,33,117,3.92,6.78
2003,Omari Hand,Tennessee,DE,75.8,267,,4.85,34,,,,
2003,Byron Hardmon,Florida,ILB,73,232,,4.78,17,32.5,115,4.36,7.55
2003,Kwame Harris,Stanford,OT,79,310,,5.22,,35.5,107,4.58,7.97
2003,Gerald Hayes,Pittsburgh,ILB,72.9,238,,4.75,,30.5,107,4.35,7.57
2003,Michael Haynes,Penn State,DE,75.6,281,,4.89,23,30.5,109,,
2003,E.J. Henderson,Maryland,ILB,72.9,245,,4.8,20,,,,
2003,Dwone Hicks,Middle Tennessee State,RB,69.6,222,,4.6,29,34,115,4.37,7.38
2003,Zach Hilton,North Carolina,TE,79.8,262,,4.83,24,35,112,4.29,7.25
2003,Ryan Hoag,Gustavus Adolphus (MN),WR,74,200,,4.51,,38,125,3.95,6.72
2003,Victor Hobson,Michigan,ILB,72.5,252,,4.88,29,33,117,4.32,7.25
2003,Montrae Holland,Florida State,OG,73.5,333,,5.3,30,,,5.12,8.45
2003,Terrence Holt,North Carolina State,FS,73.8,208,,4.63,13,34.5,122,3.97,6.99
2003,Raymond House,Arkansas,DE,74.4,277,,5.14,20,32,120,4.32,7.53
2003,Keenan Howry,Oregon,WR,69.6,178,,4.62,,31.5,114,4.24,7.34
2003,Aaron Hunt,Texas Tech,DE,74.5,267,,4.84,24,30,106,4.48,7.68
2003,Wayne Hunter,Hawaii,OT,77.6,303,,5.16,37,31,104,4.54,7.72
2003,Alonzo Jackson,Florida State,DE,76,266,,4.9,14,37,114,4.45,7.69
2003,Bradie James,Louisiana State,ILB,74.4,242,,4.71,,32.5,113,4.52,7.53
2003,Jason Jimenez,Southern Mississippi,OT,78.9,311,,5.31,18,30,96,4.64,8.47
2003,Andre Johnson,Miami (FL),WR,74,230,,4.4,,39,132,,
2003,Ben Johnson,Wisconsin,OT,78.5,329,,5.37,30,,,,
2003,Bethel Johnson,Texas A&M,WR,71,201,,4.37,,38.5,127,,
2003,Garry Johnson,Arkansas State,OT,76,289,,5.28,17,24.5,97,4.89,8.27
2003,Jarret Johnson,Alabama,DT,74.6,284,,5.09,21,28.5,107,4.52,7.72
2003,Jeremi Johnson,Indiana,FB,71,260,,4.9,20,29,103,,
2003,Larry Johnson,Penn State,RB,74.4,214,,4.55,19,,,,
2003,Robert Johnson,Auburn,TE,77.6,278,,4.96,18,33.5,115,4.42,7.13
2003,Teyo Johnson,Stanford,WR,77.4,247,,4.61,,33.5,,,
2003,Todd Johnson,Florida,FS,72.9,206,,4.58,19,33.5,117,4.17,6.99
2003,Bennie Joppru,Michigan,TE,76.3,272,,4.78,19,30.5,109,,
2003,William Joseph,Miami (FL),DT,77,308,,4.95,29,,,,
2003,Jason Jowers,Wisconsin,OG,78.4,319,,5.5,,29.5,101,4.82,8.3
2003,Cato June,Michigan,SS,72.1,218,,4.66,,35,113,,
2003,Kareem Kelly,Southern California,WR,71.8,186,,4.43,,35,125,4.14,7.49
2003,Chris Kelsay,Nebraska,DE,76.4,273,,4.76,23,36.5,121,,
2003,Terrence Kiel,Texas A&M,SS,71.1,204,,4.49,16,38,127,3.92,6.87
2003,Austin King,Northwestern,C,75.9,299,,5.57,20,28,106,4.72,7.99
2003,Kenny King,Alabama,DE,74.8,281,,4.95,25,35,114,4.28,7.5
2003,Kliff Kingsbury,Texas Tech,QB,75.5,213,31,4.76,,30,101,4.07,6.91
2003,Dan Klecko,Temple,DT,71.5,283,,4.91,26,33.5,111,4.4,7.51
2003,Scott Kooistra,North Carolina State,OT,77.9,316,,5.18,28,31,103,4.57,7.93
2003,Dan Koppen,Boston College,C,74.6,297,,5.31,27,28.5,101,4.46,8.24
2003,Tron LaFavor,Florida,DT,73.9,290,,5.08,26,28,106,,
2003,Damian Lavergne,Louisiana Tech,OT,78,333,,5.57,17,27,92,4.82,8.43
2003,Donald Lee,Mississippi State,TE,75.3,249,,4.79,26,39,120,4.37,7.4
2003,James Lee,Oregon State,DT,76.5,327,,4.96,23,30,106,4.69,7.77
2003,Byron Leftwich,Marshall (WV),QB,77.4,241,25,5.1,,,,,
2003,Mike Lehan,Minnesota,CB,71.8,196,,4.52,13,34.5,119,4.1,6.94
2003,Norman LeJeune,Louisiana State,SS,72.4,200,,4.65,11,33.5,115,4.21,7.41
2003,Matt Leonard,Stanford,DT,74.6,305,,4.99,30,26,95,4.52,7.51
2003,Brandon Lloyd,Illinois,WR,72.1,184,,4.61,,36,,,
2003,Rien Long,Washington State,DT,78.1,302,,5.08,,,105,,
2003,Tom Lopienski,Notre Dame,FB,71.8,246,,4.75,24,34,111,4.24,7.53
2003,Pete Lougheed,Purdue,OT,76.8,300,,5.18,20,28.5,93,4.5,7.85
2003,Jeremy Loyd,Iowa State,OLB,73.6,235,,4.66,17,34,114,4.12,6.89
2003,Nick Maddox,Florida State,RB,71,211,,4.65,18,33.5,115,4.5,7.33
2003,Adrian Madise,Texas Christian,WR,71.4,215,,4.53,,32,119,4.23,7.3
2003,Sean Mahan,Notre Dame,OG,75,301,,5.16,30,30,105,4.75,7.75
2003,Reno Mahe,Brigham Young,WR,69.3,198,,4.71,,32,109,4.14,7.27
2003,Brian Mance,Clemson,CB,70.4,189,,4.61,18,32.5,115,,
2003,Eric Manning,Oregon State,DT,73,303,,5.09,26,28.5,107,4.54,7.76
2003,Ricky Manning,UCLA,CB,68.6,185,,4.55,12,36.5,117,4.12,7.09
2003,Vince Manuwai,Hawaii,OG,74,304,,5.19,27,29.5,107,4.37,7.57
2003,Kareem Marshall,Georgia,OT,76.6,359,,5.22,,27.5,92,,
2003,Terrance Martin,North Carolina State,DT,75,299,,5.15,30,,,,
2003,Rashean Mathis,Bethune-Cookman (FL),FS,72.8,202,,4.47,22,38.5,123,4.15,7.08
2003,Sultan McCullough,Southern California,RB,71.4,202,,4.49,27,,,,
2003,LaMarcus McDonald,Texas Christian,ILB,73.3,227,,4.97,,31,110,4.44,7.59
2003,Jerome McDougle,Miami (FL),DE,74,264,,4.74,,34,117,4.54,7.28
2003,Terrence McGee,Northwestern State (LA),CB,69.6,201,,4.55,15,37,126,4.07,6.87
2003,Bryant McNeal,Clemson,DE,76.4,248,,4.86,22,34.5,117,,
2003,Hanik Milligan,Houston,FS,74.4,201,,4.5,9,36.5,130,4.18,7.09
2003,Clint Mitchell,Florida,DE,78.9,257,,4.93,16,34.5,115,4.31,7.34
2003,Kawika Mitchell,South Florida,ILB,73,253,,4.69,25,37,117,4.24,7.32
2003,Casey Moore,Stanford,FB,73.9,240,,4.67,22,32.5,114,4.26,7.29
2003,Langston Moore,South Carolina,DT,73,303,,5.05,29,32,104,4.21,7.63
2003,Kindal Moorehead,Alabama,DE,74.5,285,,5,22,32,104,4.51,7.71
2003,Gene Mruczkowski,Purdue,C,74.6,297,,5.19,28,,,,
2003,Ovie Mughelli,Wake Forest,FB,73.1,255,,4.73,,31.5,114,4.32,7.78
2003,Mike Nattiel,Florida,OLB,71.6,228,,4.65,,30,106,4.38,7.49
2003,Spencer Nead,Brigham Young,TE,76.5,259,,4.89,19,28.5,102,4.24,7.37
2003,Bruce Nelson,Iowa,C,77.3,301,,5.26,21,,,,
2003,Terence Newman,Kansas State,CB,70.4,189,,4.41,10,41,136,3.82,6.88
2003,Donnie Nickey,Ohio State,FS,74.3,220,,4.64,17,33.5,119,4.15,7.08
2003,Lance Nimmo,West Virginia,OT,77.3,303,,5.33,20,27,90,4.93,8.19
2003,Joe Odom,Purdue,OLB,72.9,241,,4.62,26,,,,
2003,Will Ofenheusle,Tennessee,OT,78.5,308,,5.35,23,26.5,94,4.92,8.65
2003,Kassim Osgood,San Diego State,WR,76.9,208,,4.7,,31,122,4.4,7.19
2003,Calvin Pace,Wake Forest,DE,76,269,,4.8,,33,115,,
2003,Derek Pagel,Iowa,FS,73,208,,4.53,25,35.5,115,4.03,6.85
2003,Carson Palmer,Southern California,QB,77,232,26,4.65,,,,,
2003,Tony Pashos,Illinois,OT,78,337,,5.3,38,,,,
2003,Antwan Peek,Cincinnati,OLB,74.6,246,,4.67,21,37,125,4.33,7.06
2003,Terry Pierce,Kansas State,ILB,73.4,251,,4.7,28,27.5,,,
2003,Shurron Pierson,South Florida,DE,73.9,243,,4.63,,39,128,,
2003,Willie Pile,Virginia Tech,FS,74,206,,4.58,14,38,125,4.04,6.75
2003,Mike Pinkard,Arizona State,TE,76.9,259,,4.69,,35,,,
2003,Andrew Pinnock,South Carolina,FB,70.1,265,,4.62,22,,,,
2003,David Porter,Iowa,OT,77.9,311,,5.34,,26,95,4.96,8.43
2003,Tim Provost,San Jose State,OT,77.1,301,,5.3,21,28.5,102,4.67,8.37
2003,Dave Ragone,Louisville,QB,75.6,249,31,4.98,,30.5,101,4.32,7.4
2003,Cory Redding,Texas,DE,76,279,,4.88,24,,,,
2003,Gabe Reid,Brigham Young,TE,75.4,255,,4.81,23,37,119,4.31,7.48
2003,Terrell Roberts,Oregon State,CB,69.1,203,,4.74,18,34,117,4.19,7.12
2003,Terrence Robinson,Oklahoma State,ILB,72.4,240,,4.97,19,33.5,116,4.33,7.6
2003,Brett Romberg,Miami (FL),C,74,295,,5.2,27,27.5,99,4.65,8.16
2003,Tony Romo,Eastern Illinois,QB,74,230,30,5.01,,30,105,4.2,7.11
2003,Dustin Rykert,Brigham Young,OT,78.4,327,,5.52,21,26.5,92,4.83,8.19
2003,Asante Samuel,Central Florida,CB,70.9,185,,4.52,9,35.5,120,4.09,6.94
2003,Antwoine Sanders,Utah,FS,73.6,202,,4.56,14,37.5,128,4.37,7.43
2003,Watts Sanderson,South Carolina,OT,77,303,,5.39,24,28.5,100,4.92,8.47
2003,Justin Sands,Kansas,OG,78.9,324,,5.07,31,32,105,,
2003,Lauvale Sape,Utah,DT,73.6,297,,5.2,,31.5,111,4.68,7.72
2003,Gerome Sapp,Notre Dame,SS,72.1,216,,4.69,,36.5,112,4.27,7.13
2003,Greg Schindler,Stanford,OG,77.1,307,,5.1,18,30.5,94,5.07,8.55
2003,Steve Sciullo,Marshall (WV),OT,77.1,330,,5.52,23,28,98,4.65,7.84
2003,Bryan Scott,Penn State,SS,73,219,,4.6,13,,,,
2003,Ian Scott,Florida,DT,75,312,,5.16,28,28.5,99,5,8.12
2003,Mike Seidman,UCLA,TE,76.5,261,,4.8,20,,,,
2003,Chad Setterstrom,Northern Iowa,OG,75.1,309,,5.46,16,28.5,101,4.61,7.91
2003,Scott Shanle,Nebraska,OLB,74.1,245,,4.71,20,31,111,4.32,7.27
2003,Visanthe Shiancoe,Morgan State (MD),TE,76.4,251,,4.64,28,39.5,120,4.28,7.09
2003,Chris Simms,Texas,QB,76.4,220,22,4.86,,31,103,4.18,7.37
2003,Clifton Smith,Syracuse,ILB,74.4,253,,4.88,,,,,
2003,L.J. Smith,Rutgers,TE,75.3,258,,4.69,26,37,122,4.18,6.74
2003,Musa Smith,Georgia,RB,72.8,232,,4.45,,35.5,123,,
2003,Onterrio Smith,Oregon,RB,69.9,220,,4.48,19,,,,
2003,Trent Smith,Oklahoma,TE,77.1,243,,4.81,16,35.5,118,4.3,7.21
2003,Wade Smith,Memphis,OT,75.9,296,,5.15,24,32.5,114,4.71,7.6
2003,Ben Sobieski,Iowa,OG,77.3,307,,5.01,18,30,109,4.43,7.69
2003,Jamil Soriano,Harvard,OG,76,317,,5.48,,27.5,103,5.08,8.54
2003,Jake Sprague,Wisconsin,DT,74.1,274,,4.97,26,,,,
2003,Brian St. Pierre,Boston College,QB,75,218,27,4.82,,30,106,,
2003,Eric Steinbach,Iowa,OG,78.3,297,,4.96,,36,119,4.37,7.34
2003,Jon Stinchcomb,Georgia,OT,77,302,,5.09,32,35,115,4.58,7.83
2003,Erick Streelman,Nevada,TE,77,248,,5.06,9,30,109,4.4,7.59
2003,Donald Strickland,Colorado,CB,70,187,,4.48,16,35.5,121,4.01,6.97
2003,Johnathan Sullivan,Georgia,DT,75.1,313,,5.07,,,,,
2003,Scott Tercero,California,OG,76,303,,5.23,25,28.5,103,4.51,7.81
2003,Tony Terrell,Nevada Las Vegas,OG,75.3,334,,5.52,25,25.5,94,4.97,8.6
2003,Ray Thomas,Wake Forest,TE,76.4,248,,5.05,17,31,113,4.52,7.47
2003,Chaun Thompson,West Texas A&M,OLB,73.9,240,,4.56,29,35.5,123,4.16,7
2003,Charles Tillman,Louisiana-Lafayette,CB,73,207,,4.49,12,40,131,3.89,7.05
2003,Pisa Tinoisamoa,Hawaii,OLB,72.4,231,,4.69,19,34.5,111,4.07,6.95
2003,LaBrandon Toefield,Louisiana State,RB,70.9,233,,4.6,19,,,,
2003,J.R. Tolver,San Diego State,WR,73,202,,4.76,,36,119,4.16,6.98
2003,Marcus Trufant,Washington State,CB,71.1,199,,4.43,11,39,127,4.3,6.85
2003,B.J. Tucker,Wisconsin,CB,70.5,188,,4.38,16,35,123,4.14,7.25
2003,Torrin Tucker,Southern Mississippi,OG,77.8,328,,5.43,,30,103,4.96,8.38
2003,Demetrin Veal,Tennessee,DE,74.1,288,,5.26,26,,111,,
2003,Bobby Wade,Arizona,WR,70.3,193,,4.68,,34.5,115,4.03,7
2003,Aaron Walker,Florida,TE,77.6,252,,4.75,24,33.5,115,4.27,7.55
2003,Seneca Wallace,Iowa State,QB,71.4,196,12,4.52,,38,127,4.14,6.97
2003,Matt Walters,Miami (FL),DE,76.5,272,,4.9,30,,,,
2003,Shane Walton,Notre Dame,CB,70.6,184,,4.67,11,31,109,4.2,7.03
2003,Seth Wand,Northwest Missouri State,OT,79,321,,5.15,20,31.5,107,4.5,7.57
2003,Kevin Ware,Washington,TE,74.9,256,,4.8,22,34,110,4.47,7.51
2003,Ty Warren,Texas A&M,DT,76.6,307,,5.1,27,,,,
2003,Clifton Washburn,Citadel (SC),DE,77.1,275,,5.02,22,27,109,4.75,8.59
2003,Derek Watson,South Carolina,RB,73,212,,4.63,15,34,114,4.2,7.35
2003,Derrick Watson,South Carolina,RB,73,212,,4.63,15,34,114,4.2,7.35
2003,Dennis Weathersby,Oregon State,CB,72.6,204,,4.39,9,38,125,4.08,7.13
2003,Reggie Wells,Clarion (PA),OT,75.3,300,,5.2,23,29,104,4.53,8.34
2003,DeWayne White,Louisville,DE,74.1,273,,4.78,22,33,112,4.22,7.22
2003,Keyon Whiteside,Tennessee,ILB,71.9,229,,4.74,27,29,111,4.33,7.3
2003,Taylor Whitley,Texas A&M,OG,75.9,321,,5.2,28,30,106,4.55,7.95
2003,Jimmy Wilkerson,Oklahoma,DE,74.9,271,,4.86,29,34.5,114,4.38,7.44
2003,Andrew Williams,Miami (FL),DE,74.3,263,,4.69,29,32,113,4.44,7.53
2003,Brett Williams,Florida State,OT,76.8,321,,5.28,,27.5,99,5.01,8.57
2003,Kevin Williams,Oklahoma State,DE,76.9,304,,4.84,23,30,112,5.01,7.66
2003,Todd Williams,Florida State,OT,76.8,340,,5.14,27,32.5,108,4.54,8.06
2003,Eugene Wilson,Illinois,CB,70.4,192,,4.46,15,38,122,4,7.18
2003,Jason Witten,Tennessee,TE,77.8,264,,4.65,25,31,,,
2003,Juston Wood,Portland State (OR),QB,72.6,207,30,4.84,,32.5,113,4.07,7.13
2003,Andre Woolfolk,Oklahoma,CB,73.4,197,,4.47,10,35.5,128,3.95,6.76
2003,George Wrighster,Oregon,TE,74.1,249,,4.89,16,34.5,115,,7.24
2003,Thomas Wright,Michigan State,SS,73.4,201,,4.79,13,36,114,4.38,7.41
2003,Walter Young,Illinois,WR,76.6,214,,4.59,,39,121,4.22,6.89
2003,Doug Zeigler,Mississippi,TE,76,257,,4.7,20,,,,
,,,,,,,,,,,,
