Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Darnell Alford,Boston College,OT,76,334,,5.58,23,25,94,4.98,8.48
2000,Kyle Allamon,Texas Tech,TE,74.5,253,,5.01,,29,104,4.49,7.29
2000,Rashard Anderson,Jackson State (MS),CB,74.4,206,,4.59,,34,123,4.15,7.18
2000,Corey Atkins,South Carolina,OLB,72.4,237,,4.76,21,31,112,4.39,7.96
2000,Reggie Austin,Wake Forest,CB,69.4,175,,4.46,17,35,119,4.14,7.03
2000,Mark Baniewicz,Syracuse,OT,77.9,312,,5.36,20,28,96,4.73,7.72
2000,Rashidi Barnes,Colorado,FS,71.6,208,,4.63,10,35,114,4.32,6.92
2000,David Barrett,Arkansas,CB,69.9,199,,4.48,16,37.5,116,4.04,6.81
2000,William Bartee,Oklahoma,CB,73,192,,4.43,,38.5,124,3.99,6.7
2000,Terrance Beadles,Arkansas-Pine Bluff,OG,74.9,312,,5.21,29,,,,
2000,Robert Bean,Mississippi State,CB,71,178,,4.5,,34.5,122,4.2,6.87
2000,Anthony Becht,West Virginia,TE,77.6,270,,4.78,,33.5,123,4.08,6.94
2000,Rogers Beckett,Marshall (WV),FS,73.5,207,,4.64,15,39.5,119,4.29,6.48
2000,Brad Bedell,Colorado,OG,76.4,302,,5.12,17,31.5,103,4.58,7.76
2000,Marcus Bell,Arizona,ILB,73.6,237,,4.8,21,31.5,111,4.33,7.17
2000,Michael Boireau,Miami (FL),DE,76.1,274,,5.12,26,29,105,4.49,7.68
2000,Matt Bowen,Iowa,SS,73.1,201,,4.51,12,33,115,4.09,7.06
2000,Tom Brady,Michigan,QB,76.4,211,33,5.3,,24.5,99,4.38,7.2
2000,Robert Brannon,Iowa State,DT,75.8,309,,5.22,28,28.5,99,4.7,7.82
2000,Demario Brown,Utah State,RB,72.4,217,,4.74,,31,107,4.39,7.17
2000,Keith Brown,UCLA,RB,71.1,216,,4.68,,30,117,4.08,6.64
2000,Mike Brown,Nebraska,SS,69.9,204,,4.6,14,36,116,4.01,6.93
2000,Ralph Brown,Nebraska,CB,69.9,204,,4.6,14,36,116,4.01,6.93
2000,Travis Brown,Northern Arizona,QB,75.5,218,35,5.03,,29,101,4.87,7.54
