Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2009,Spencer Adkins,Miami (FL),ILB,71.13,230,,,,,,,
2009,Al Afalava,Oregon State,SS,70.88,207,,,,,,,
2009,Kevin Akins,Boston College,OLB,74,218,,4.82,15,31.5,117,4.15,6.78
2009,Asher Allen,Georgia,CB,69.5,194,,4.48,22,35,115,4.3,6.93
2009,Roger Allen,Missouri Western,OG,74.75,326,,,,,,,
2009,Antonio Appleby,Virginia,ILB,75.5,245,,,,,,,
2009,Stanley Arnoux,Wake Forest,ILB,72,232,,4.56,19,31.5,121,4.39,7.22
2009,Robert Ayers,Tennessee,DE,75.13,272,,4.77,18,29.5,102,4.51,7.56
2009,Chris Baker,Hampton (VA),DT,74,326,,4.94,24,35.5,106,4.9,8.06
2009,Ramses Barden,Cal Poly,WR,78,229,,4.55,17,33.5,118,4.26,
2009,Kevin Barnes,Maryland,CB,72.25,187,41,4.45,,38.5,128,3.96,6.72
2009,Connor Barwin,Cincinnati,OLB,75.63,256,,4.59,21,40.5,128,4.18,6.87
2009,Will Beatty,Texas Tech,OT,78,307,,5.12,27,33.5,107,4.77,7.62
2009,William Beatty,Connecticut,OT,78,307,,5.06,27,33.5,107,4.77,7.62
2009,Travis Beckum,Wisconsin,TE,75,239,,4.62,28,,,,
2009,Darry Beckwith,Louisiana State,ILB,72.38,234,,4.75,23,26.5,110,4.5,7.39
2009,Joel Bell,Furman (SC),OT,78.75,315,,5.11,27,30,109,4.57,7.55
2009,Kahlil Bell,UCLA,RB,70.75,212,,4.74,15,34.5,114,4.2,6.87
2009,Michael Bennett,Texas A&M,DE,75.5,274,,5,24,31,110,,
2009,E.J. Biggers,Western Michigan,CB,71.13,180,,,,,,,
2009,Demonte Bolden,Tennessee,DT,75.25,285,,5.04,,31.5,109,4.78,7.5
2009,Jason Boltus,Hartwick (NY),QB,74.75,225,,4.82,26,31.5,111,4.47,7
