Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Daryl Towns,Nevada,OLB,73.0,224.0,4.57,,37.0,112.0,4.25,7.15,9-3-0,,,,,,,,,,,,,,U
2004.0,Khaleed Vaughn,Clemson,DE,76.5,281.0,5.02,14.0,31.5,113.0,4.35,7.38,8-4-0,,,,,,,,,,,,,,U
2004.0,Vince Wilfork,Miami (FL),DT,73.3,323.0,5.21,36.0,,,,,9-3-0,,,,,,,,,,,,,,U
2004.0,Quintin Williams,Wake Forest,FS,71.5,207.0,4.61,21.0,37.0,122.0,4.09,7.28,4-7-0,,,,,,,,,,,,,,U
2004.0,Virgil Williams,Washington State,SS,72.9,196.0,4.66,11.0,,,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Marcus Winn,Alabama State,SS,72.3,223.0,4.86,21.0,,,,,,,,,,,,,,,,,,,U
2004.0,Jeff Womble,Florida State,DT,73.4,313.0,5.36,18.0,28.0,,,,8-5-0,,,,,,,,,,,,,,U
2005.0,Lorenzo Alexander,California,DT,74.0,289.0,5.16,28.0,29.5,106.0,4.55,7.53,8-4-0,,,,,,,,,,,,,,U
2005.0,Adrian Awasom,North Texas,DE,76.13,279.0,4.93,23.0,32.5,107.0,4.4,7.57,2-9-0,,,,,,,,,,,,,,U
2005.0,Ronald Bartell,Howard (DC),CB,73.25,211.0,4.42,21.0,35.5,,,,,,,,,,,,,,,,,,U
2005.0,Trey Bell,Wisconsin-Whitewater,CB,71.0,186.0,,,,,,,,,,,,,,,,,,,,,U
2005.0,Atari Bigby,Central Florida,SS,70.75,214.0,4.65,19.0,35.0,106.0,4.1,7.0,8-5-0,,,,,,,,,,,,,,U
2005.0,Patrick Body,Toledo,FS,73.63,196.0,4.36,,,,,,9-3-0,,,,,,,,,,,,,,U
2005.0,Jamaal Brimmer,Nevada Las Vegas,SS,73.38,216.0,4.87,16.0,32.0,108.0,4.63,7.78,,,,,,,,,,,,,,,U
2005.0,Brandon Browner,Oregon State,CB,75.5,221.0,4.67,13.0,36.5,120.0,4.24,7.2,5-6-0,,,,,,,,,,,,,,U
2005.0,Tim Bulman,Boston College,DT,75.5,294.0,4.94,35.0,32.5,115.0,4.2,7.23,9-3-0,,,,,,,,,,,,,,U
2005.0,Larry Burt,Miami (OH),DT,74.0,304.0,5.41,22.0,28.0,98.0,4.72,8.03,7-4-0,,,,,,,,,,,,,,U
2005.0,James Butler,Georgia Tech,FS,73.88,213.0,4.58,16.0,40.5,127.0,3.98,7.1,7-5-0,,,,,,,,,,,,,,U
2005.0,Eric Coleman,Clemson,DT,76.88,288.0,5.15,27.0,33.0,118.0,4.71,7.42,8-4-0,,,,,,,,,,,,,,U
2005.0,Atcheson Conway,Bowie State (MD),SS,70.4,219.0,4.95,14.0,32.0,108.0,4.1,7.38,,,,,,,,,,,,,,,U
2005.0,Roger Cooper,Montana State,OLB,74.38,239.0,4.75,19.0,35.5,118.0,4.33,7.28,,,,,,,,,,,,,,,U
2005.0,Vince Crochunis,Pittsburgh,DT,75.38,295.0,,,,,,,5-6-0,,,,,,,,,,,,,,U
2005.0,Markus Curry,Michigan,CB,70.88,181.0,4.62,12.0,35.0,113.0,3.89,7.04,7-5-0,,,,,,,,,,,,,,U
2005.0,Jim Davis,Virginia Tech,DE,75.5,277.0,5.05,,34.0,108.0,4.23,7.11,11-2-0,,,,,,,,,,,,,,U
2005.0,John Denney,Brigham Young,DE,77.5,265.0,,,,,,,6-6-0,,,,,,,,,,,,,,U
2005.0,Arrion Dixon,Arkansas,DT,75.63,293.0,,,,,,,4-7-0,,,,,,,,,,,,,,U
2005.0,Adell Duckett,Texas Tech,DE,75.38,270.0,4.96,14.0,34.5,104.0,4.35,7.75,9-3-0,,,,,,,,,,,,,,U
2005.0,Clifford Dukes,Michigan State,DE,75.5,268.0,4.98,28.0,31.5,,,,5-6-0,,,,,,,,,,,,,,U
2005.0,Abraham Elimimian,Hawaii,CB,69.63,190.0,4.68,14.0,39.0,118.0,4.05,,5-7-0,,,,,,,,,,,,,,U
2005.0,Jamar Enzor,Cincinnati,OLB,72.5,243.0,4.83,21.0,,,,,4-7-0,,,,,,,,,,,,,,U
2005.0,Liam Ezekiel,Northeastern (MA),ILB,72.13,249.0,4.83,36.0,34.5,117.0,4.12,7.27,,,,,,,,,,,,,,,U
2005.0,Diamond Ferri,Syracuse,SS,70.13,223.0,4.64,20.0,35.5,111.0,4.14,7.15,1-10-0,,,,,,,,,,,,,,U
2005.0,Tony Ficklin,San Jose State,DE,73.88,268.0,,,,,,,,,,,,,,,,,,,,,U
2005.0,Therrian Fontenot,Frenso State (CA),CB,70.88,187.0,,,,,,,,,,,,,,,,,,,,,U
2005.0,Aaron Francisco,Brigham Young,FS,73.88,211.0,4.76,17.0,35.0,110.0,4.07,6.96,6-6-0,,,,,,,,,,,,,,U
2005.0,Simon Fraser,Ohio State,DE,77.63,288.0,5.05,23.0,28.0,102.0,4.43,7.54,10-2-0,,,,,,,,,,,,,,U
